dictionaryID,locale,versionToken
sampleApplication_fb975553-3b60-4804-9e84-9a7587b84617,en,5aec171d-c75f-40ae-99d1-d8563025537c
sampleApplication_bb0d4f14-1c9f-4fff-8726-559c05a889b2,en,dd2c70c5-675c-4d75-842f-362000ae5fd7
sampleApplication_022ed2e6-19f6-4016-a088-b825a9d544d1,en,99063ae5-7135-4196-a91b-fcaf97c63364
sampleApplication_55494c34-778c-4197-a5c9-bb927ea2d18a,en,36b3aab1-62df-4de5-90e9-726034d8cf88
sampleApplication_cff254b0-2055-475b-b25c-2e51f37f74e8,en,87d6fe1f-38d6-4186-9be0-cf1ef9d81763
sampleApplication_468b81e3-0b0a-403a-b943-dec1541a572e,en,eaceca56-dce7-4f9e-8317-76c2fb761198
sampleApplication_1b0abff1-7e02-4570-9f8f-8b5422be5031,en,9bf29690-1e96-485e-893a-96c0e1ee6b08
sampleApplication_b153704b-4ada-4ad6-beb6-95d09332533d,en,7ea4e69c-d224-42b3-a3d5-eb3d78467f10
sampleApplication_4e76eb92-93c7-432a-af24-ba6595176d8f,en,ae2741d9-227c-4fd9-bf4f-588b57299906
sampleApplication_d1d73b78-0a79-45cd-b54e-895b2bb11e1c,en,0de6c555-a090-4668-9d47-d64951d4d410
